county,year,average_price
Dublin,2025,671736.0368071253
Dublin,2024,646211.3111032268
Wicklow,2024,612383.084088632
Dublin,2022,598372.9887876657
Dublin,2023,594066.6260563455
Dublin,2021,559992.224493508
Dublin,2020,529781.3365782888
Wicklow,2023,507596.8046332209
Wicklow,2025,501524.3136607893
Dublin,2019,498425.98457854823
Wicklow,2022,493563.5343902439
Dublin,2018,468680.3695861405
Wicklow,2021,431777.2253004192
Kildare,2025,426093.7717344934
Dublin,2017,419585.58361100307
Kildare,2024,407440.09648951876
Meath,2025,405858.0502419355
Dublin,2016,404415.69199241226
Kildare,2023,391253.42071292776
Kildare,2022,391001.14069967164
Galway,2025,385698.64833990677
Louth,2025,384444.3348926829
Meath,2024,376991.8302306805
Meath,2023,373472.1366197691
Cork,2025,372287.4613195217
Wicklow,2020,363490.7727142036
Dublin,2014,362171.4013087012
Westmeath,2025,356923.47346248967
Cork,2024,355393.0697792557
Wicklow,2019,353614.49622917717
Dublin,2015,350887.2985346111
Kildare,2021,350236.01326111745
Kilkenny,2025,347804.19074696547
Kerry,2025,346315.1427948911
Galway,2024,343394.7967869222
Limerick,2025,335564.7253381102
Meath,2022,335056.2889557522
Dublin,2010,332901.3883825436
Cork,2022,332315.64217861975
Wicklow,2018,332271.0452586207
Cork,2023,330888.64703072625
Wicklow,2017,330411.93868578254
Dublin,2013,328123.19450327975
Laois,2025,328023.9166938111
Kilkenny,2024,325743.4900662252
Clare,2025,322700.49079425115
Galway,2023,321377.25081415323
Waterford,2025,319282.9062134146
Wexford,2025,318516.36848943983
Limerick,2024,317326.6542336802
Kildare,2020,313097.1709298246
Louth,2024,312276.80782312923
Wicklow,2016,309406.3376141079
Dublin,2011,309183.42467750126
Meath,2021,308954.88310991955
Kilkenny,2023,308367.93705365853
Galway,2022,308148.00356561725
Tipperary,2025,307823.47357697284
Carlow,2025,306912.65523076925
Kildare,2019,304026.1211685714
Wexford,2024,302441.2396361186
Clare,2024,300914.6849605678
Wicklow,2010,293963.3235376045
Laois,2023,293866.5916231648
Louth,2023,292407.3680233204
Kilkenny,2022,291214.82574844075
Wicklow,2015,290302.6561614731
Waterford,2024,286292.16103057755
Westmeath,2024,286119.3611861472
Kildare,2018,284862.67501443694
Meath,2020,284694.4512267013
Offaly,2025,284494.96413181245
Limerick,2023,284089.15039479587
Dublin,2012,280465.8933374412
Cork,2018,280198.9485257985
Cork,2021,280086.8744521712
Kerry,2024,277873.0147823129
Meath,2019,276967.70584228064
Kerry,2023,275499.2005365223
Limerick,2022,271316.87250325945
Wexford,2023,270579.3784397163
Offaly,2024,269289.9266552119
Cork,2020,269031.319613079
Galway,2021,268862.46704505145
Laois,2024,267618.1704095004
Westmeath,2023,267554.2353004622
Sligo,2025,266847.3723004695
Meath,2018,264919.4711273567
Kildare,2017,264602.14513485116
Wicklow,2014,262662.36048507463
Cork,2019,262474.075753383
Cavan,2025,261812.35967377666
Waterford,2023,261504.51780952382
Monaghan,2025,261346.86025586355
Kildare,2016,259873.33282403433
Waterford,2022,259689.42817175973
Louth,2021,259526.90948913683
Carlow,2024,258114.3553153153
Louth,2022,258002.96814511728
Wexford,2022,257453.55776460626
Clare,2023,253166.45619581465
Clare,2022,253036.8205003574
Kilkenny,2021,251729.44377066116
Laois,2022,250862.22958984374
Galway,2020,249359.5993164557
Sligo,2024,248370.7570013387
Kildare,2015,248251.12655951348
Westmeath,2022,247634.35549166668
Kerry,2022,247427.5739414802
Meath,2017,246852.15062340966
Wicklow,2011,246419.4371875
Galway,2019,246252.47419517464
Wicklow,2013,245863.79722672064
Carlow,2023,244295.1443977591
Galway,2018,241220.87022923713
Kildare,2010,239974.2431363203
Monaghan,2024,239534.30492407808
Laois,2021,239158.30375347543
Limerick,2021,238068.91430530165
Wicklow,2012,236219.56225316456
Carlow,2022,235214.9164453665
Mayo,2025,234775.6562316818
Offaly,2023,232235.06144646925
Wexford,2021,231565.0574919614
Tipperary,2024,231405.4118546366
Donegal,2025,230972.88652536483
Cork,2017,230756.6142316825
Louth,2017,230519.20325072887
Cork,2010,229962.5579181338
Monaghan,2022,228300.29369763206
Meath,2010,226326.49211695907
Meath,2016,225372.01772753624
Kerry,2021,225064.71013229105
Kildare,2011,224862.8186716792
Cavan,2024,224519.6720361446
Mayo,2024,223759.0827034678
Galway,2010,223014.40568421053
Roscommon,2025,222885.78565389695
Kildare,2014,222779.74806794056
Leitrim,2025,221183.89884026258
Kilkenny,2020,220885.13301075267
Louth,2020,220464.26457937088
Tipperary,2023,219650.14309260336
Waterford,2021,216560.8247784091
Carlow,2021,216356.40558204768
Louth,2019,216305.46800578033
Offaly,2022,215813.8689806867
