county,year,new_building_count
Dublin,2010,1335
Cork,2010,526
Kildare,2010,394
Meath,2010,275
Galway,2010,265
Wicklow,2010,215
Wexford,2010,206
Donegal,2010,190
Limerick,2010,186
Cavan,2010,156
Kerry,2010,149
Louth,2010,143
Tipperary,2010,133
Westmeath,2010,131
Sligo,2010,111
Clare,2010,111
Waterford,2010,105
Carlow,2010,93
Roscommon,2010,93
Laois,2010,93
Monaghan,2010,84
Mayo,2010,83
Kilkenny,2010,64
Offaly,2010,63
Leitrim,2010,56
Longford,2010,52
Dublin,2011,684
Cork,2011,322
Galway,2011,180
Kildare,2011,169
Meath,2011,135
Limerick,2011,106
Westmeath,2011,99
Laois,2011,98
Wexford,2011,97
Donegal,2011,94
Tipperary,2011,90
Cavan,2011,83
Louth,2011,82
Kerry,2011,81
Wicklow,2011,78
Waterford,2011,71
Mayo,2011,67
Kilkenny,2011,59
Leitrim,2011,54
Clare,2011,53
Carlow,2011,48
Monaghan,2011,46
Sligo,2011,43
Roscommon,2011,40
Longford,2011,38
Offaly,2011,38
Dublin,2012,965
Cork,2012,315
Kildare,2012,159
Meath,2012,142
Galway,2012,138
Louth,2012,124
Laois,2012,113
Wicklow,2012,104
Wexford,2012,99
Kerry,2012,98
Donegal,2012,89
Kilkenny,2012,87
Cavan,2012,75
Westmeath,2012,72
Mayo,2012,64
Leitrim,2012,60
Roscommon,2012,59
Sligo,2012,58
Waterford,2012,53
Clare,2012,52
Limerick,2012,48
Carlow,2012,47
Tipperary,2012,45
Longford,2012,45
Offaly,2012,35
Monaghan,2012,28
Dublin,2013,1336
Cork,2013,374
Kildare,2013,277
Galway,2013,166
Meath,2013,142
Kerry,2013,116
Cavan,2013,112
Wicklow,2013,108
Roscommon,2013,107
Louth,2013,98
Wexford,2013,96
Leitrim,2013,84
Donegal,2013,82
Limerick,2013,73
Sligo,2013,73
Monaghan,2013,69
Waterford,2013,66
Carlow,2013,66
Kilkenny,2013,65
Westmeath,2013,65
Laois,2013,63
Clare,2013,62
Mayo,2013,59
Tipperary,2013,50
Offaly,2013,47
Longford,2013,37
Dublin,2014,1682
Cork,2014,527
Kildare,2014,367
Galway,2014,267
Meath,2014,221
Louth,2014,186
Wexford,2014,161
Donegal,2014,158
Wicklow,2014,154
Cavan,2014,152
Kerry,2014,140
Limerick,2014,133
Mayo,2014,127
Kilkenny,2014,119
Laois,2014,117
Westmeath,2014,111
Sligo,2014,110
Clare,2014,103
Longford,2014,81
Roscommon,2014,81
Leitrim,2014,80
Carlow,2014,80
Monaghan,2014,75
Tipperary,2014,75
Waterford,2014,72
Offaly,2014,43
Dublin,2015,2167
Cork,2015,725
Kildare,2015,470
Galway,2015,251
Wexford,2015,237
Meath,2015,221
Wicklow,2015,213
Kerry,2015,183
