county,year,count
Dublin,2024,19307
Dublin,2025,19199
Dublin,2023,18919
Dublin,2018,18702
Dublin,2022,18485
Dublin,2019,18460
Dublin,2017,17995
Dublin,2021,17098
Dublin,2016,15815
Dublin,2015,15443
Dublin,2020,14785
Dublin,2014,14182
Dublin,2013,10519
Dublin,2012,8926
Cork,2025,7192
Cork,2023,7160
Cork,2024,7067
Dublin,2010,6943
Cork,2022,6651
Cork,2019,6577
Cork,2021,6471
Cork,2018,6105
Dublin,2011,5907
Cork,2017,5896
Cork,2016,5669
Cork,2020,5505
Cork,2015,5433
Cork,2014,4678
Kildare,2023,4208
Kildare,2022,3959
Kildare,2025,3563
Kildare,2021,3508
Kildare,2019,3500
Kildare,2024,3387
Cork,2013,3255
Kildare,2018,3117
Galway,2023,2911
Kildare,2017,2855
Meath,2025,2852
Kildare,2020,2850
Galway,2015,2834
Galway,2022,2827
Meath,2022,2825
Galway,2021,2819
Galway,2017,2791
Galway,2025,2789
Galway,2019,2777
Meath,2023,2772
Cork,2012,2764
Meath,2019,2701
Galway,2018,2661
Galway,2024,2661
Meath,2021,2611
Meath,2024,2601
Meath,2018,2599
Wicklow,2024,2595
Galway,2016,2581
Galway,2014,2433
Wicklow,2025,2382
Wicklow,2023,2372
Galway,2020,2370
Wexford,2022,2362
Meath,2017,2358
Kildare,2016,2330
Meath,2020,2307
Kildare,2015,2302
Limerick,2022,2301
Cork,2010,2272
Wexford,2023,2256
Limerick,2025,2233
Limerick,2023,2229
Wexford,2024,2226
Limerick,2021,2188
Limerick,2019,2181
Wexford,2025,2178
Wexford,2021,2177
Wicklow,2022,2173
Limerick,2018,2155
Wicklow,2021,2147
Limerick,2024,2114
Cork,2011,2108
Limerick,2017,2102
Louth,2025,2050
Limerick,2015,2030
Wicklow,2019,1981
Wexford,2019,1951
Limerick,2016,1938
Waterford,2022,1898
Limerick,2020,1886
Kildare,2014,1884
Wexford,2020,1849
Louth,2022,1833
Wexford,2017,1828
Wexford,2018,1816
Louth,2023,1801
Waterford,2023,1785
Waterford,2024,1766
Louth,2024,1764
Waterford,2021,1760
Kerry,2022,1743
Tipperary,2022,1740
Wicklow,2020,1739
Louth,2019,1730
Meath,2016,1725
Tipperary,2023,1717
Louth,2021,1703
Donegal,2021,1701
Wexford,2015,1679
Wicklow,2017,1674
Kerry,2017,1668
Kerry,2018,1666
Tipperary,2019,1666
Kerry,2021,1663
Meath,2015,1661
Tipperary,2021,1650
Meath,2014,1649
Limerick,2014,1641
Waterford,2025,1640
Wexford,2016,1636
Donegal,2022,1631
Wicklow,2018,1624
Tipperary,2018,1608
Kerry,2019,1601
Waterford,2018,1599
Tipperary,2024,1596
Louth,2018,1590
Galway,2013,1586
Tipperary,2017,1585
Waterford,2019,1581
Mayo,2021,1580
Mayo,2022,1562
Donegal,2019,1555
Kerry,2023,1547
Tipperary,2025,1546
Donegal,2024,1521
Donegal,2023,1518
Donegal,2015,1509
Wexford,2014,1503
Mayo,2023,1502
Kerry,2016,1495
Donegal,2018,1493
Waterford,2016,1477
Donegal,2016,1472
Kerry,2024,1470
Wicklow,2016,1446
Donegal,2025,1439
Mayo,2025,1433
Kerry,2015,1429
Tipperary,2020,1415
Mayo,2024,1413
Wicklow,2015,1412
Waterford,2020,1407
Clare,2021,1402
Clare,2022,1399
Waterford,2017,1396
Tipperary,2016,1394
Donegal,2020,1381
Kerry,2020,1375
Louth,2017,1372
Louth,2020,1367
Wicklow,2014,1340
Clare,2023,1338
Donegal,2017,1335
Kildare,2013,1332
Kerry,2025,1331
Clare,2025,1322
Mayo,2019,1319
Mayo,2015,1317
Clare,2017,1302
Westmeath,2023,1298
Louth,2015,1292
Mayo,2017,1292
Mayo,2018,1288
Waterford,2015,1284
Tipperary,2015,1282
Clare,2024,1268
Louth,2016,1257
Mayo,2020,1249
Clare,2018,1249
Clare,2019,1242
Mayo,2016,1229
Laois,2025,1228
Laois,2023,1226
Laois,2024,1221
Kerry,2014,1219
Westmeath,2025,1213
Donegal,2014,1208
Westmeath,2022,1200
Clare,2015,1195
Louth,2014,1190
Westmeath,2019,1185
Clare,2016,1184
Galway,2012,1172
Westmeath,2024,1155
Waterford,2014,1136
Westmeath,2021,1127
Clare,2020,1103
Laois,2021,1079
Kilkenny,2025,1071
Mayo,2014,1068
Kildare,2012,1063
Kilkenny,2024,1057
Kildare,2010,1049
Clare,2014,1047
Westmeath,2018,1036
Kilkenny,2023,1025
Laois,2022,1024
Wexford,2013,1018
Meath,2013,1005
